Game,Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres,platforms
PS3_50 Cent: Blood on the Sand,PS3,50 Cent: Blood on the Sand,THQ,Swordfish Studios,0.0,190000.0,100000.0,60000.0,10000.0,30000.0,2009-02-24,,2.11,9.0,,"Shooter, Action",PlayStation 3
PS3_Cabela's Survival: Shadows of Katmai,PS3,Cabela's Survival: Shadows of Katmai,Activision,Activision,0.0,190000.0,110000.0,50000.0,0.0,30000.0,2011-11-01,,2.57,7.0,,"Shooter, Action","Xbox 360, PlayStation 3, Wii"
PS3_DanceDanceRevolution,PS3,DanceDanceRevolution,Konami,Konami,0.0,190000.0,120000.0,50000.0,0.0,20000.0,2010-11-16,,0.0,5.0,,Arcade,"Xbox 360, PlayStation 3, Wii"
PS3_Major League Baseball 2K10,PS3,Major League Baseball 2K10,2K Sports,Visual Concepts,0.0,190000.0,170000.0,0.0,0.0,20000.0,2010-03-02,,0.0,0.0,75.0,Sports,"PC, Nintendo DS, PlayStation 3, PlayStation 2, Wii"
PS3_International Cricket 2010,PS3,International Cricket 2010,Codemasters,Trickstar Games,0.0,190000.0,0.0,150000.0,0.0,40000.0,2010-06-18,,0.0,2.0,,Sports,PlayStation 3
PS4_NBA Live 19,PS4,NBA Live 19,Electronic Arts,EA Tiburon,0.0,190000.0,150000.0,0.0,0.0,40000.0,2018-09-07,2018-06-13,2.72,64.0,74.0,"Simulation, Sports","Xbox One, PlayStation 4"
PS3_Dengeki Bunko Fighting Climax,PS3,Dengeki Bunko Fighting Climax,Sega,Sega,0.0,190000.0,70000.0,0.0,100000.0,20000.0,2015-10-06,,,,,,
PS3_Ice Age: Dawn of the Dinosaurs,PS3,Ice Age: Dawn of the Dinosaurs,Activision,Eurocom Entertainment Software,0.0,190000.0,130000.0,40000.0,0.0,20000.0,2009-06-30,,3.84,50.0,59.0,"Arcade, Platformer, Adventure, Action","PC, Xbox 360, PlayStation 3, PlayStation 2, Wii"
PS4_God Eater 3,PS4,God Eater 3,Bandai Namco Entertainment,Bandai Namco Studios,0.0,190000.0,0.0,0.0,190000.0,0.0,2019-02-08,2018-12-19,3.4,73.0,72.0,"Adventure, Action, RPG","PC, PlayStation 4, Nintendo Switch"
PS3_Bolt,PS3,Bolt,Disney Interactive Studios,Avalanche Software,0.0,190000.0,120000.0,50000.0,0.0,20000.0,2008-11-18,,,,,,
PS4_Dragon's Crown Pro,PS4,Dragon's Crown Pro,Atlus,Vanillaware,0.0,190000.0,100000.0,30000.0,30000.0,20000.0,2018-04-24,2018-01-29,4.16,28.0,,"Action, RPG","PlayStation 4, PlayStation 3, PS Vita"
PS4_Creed: Rise to Glory,PS4,Creed: Rise to Glory,Sony Interactive Entertainment,Survios,0.0,190000.0,150000.0,0.0,0.0,40000.0,2018-09-25,2018-08-24,3.58,36.0,,"Action, Simulation, Sports","PC, PlayStation 4"
PS4_Toukiden Kiwami,PS4,Toukiden Kiwami,Tecmo Koei,Koei Tecmo Games,0.0,190000.0,60000.0,70000.0,30000.0,30000.0,2015-04-28,2018-07-31,,,,,
PS3_CSI: Fatal Conspiracy,PS3,CSI: Fatal Conspiracy,Ubisoft,Telltale Games,0.0,190000.0,110000.0,50000.0,0.0,20000.0,2010-10-26,,2.86,14.0,,"Adventure, Action","PC, Xbox 360, PlayStation 3"
PS3_Fairy Fencer F,PS3,Fairy Fencer F,NIS America,Compile Heart,0.0,190000.0,50000.0,30000.0,90000.0,20000.0,2014-09-16,,3.35,31.0,66.0,RPG,"PC, PlayStation 3"
PS3_Pro Yakyuu Spirits 2012,PS3,Pro Yakyuu Spirits 2012,Konami Digital Entertainment,Konami,0.0,190000.0,0.0,0.0,190000.0,0.0,2012-03-29,,,,,,
PS3_GRID: Autosport,PS3,GRID: Autosport,Codemasters,Codemasters,0.0,190000.0,50000.0,100000.0,10000.0,30000.0,2014-06-24,,,,,,
PS3_Nobunaga no Yabou: Souzou,PS3,Nobunaga no Yabou: Souzou,Tecmo Koei,Koei Tecmo Games,0.0,190000.0,0.0,0.0,190000.0,0.0,2013-12-12,,,,,,
PS3_DiRT Showdown,PS3,DiRT Showdown,Codemasters,Codemasters,0.0,180000.0,20000.0,120000.0,0.0,30000.0,2012-06-12,,3.3,435.0,74.0,"Racing, Arcade","PC, Xbox 360, PlayStation 3"
PS3_College Hoops 2K7,PS3,College Hoops 2K7,2K Sports,Visual Concepts,0.0,180000.0,160000.0,0.0,0.0,10000.0,2007-03-13,,,,,,
PS3_Backbreaker,PS3,Backbreaker,505 Games,NaturalMotion Games,0.0,180000.0,160000.0,0.0,0.0,20000.0,2010-06-01,,3.5,6.0,,Sports,"Xbox 360, PlayStation 3"
PS3_EyePet & Friends,PS3,EyePet & Friends,Sony Computer Entertainment,SCEE London Studio,0.0,180000.0,60000.0,90000.0,0.0,30000.0,2011-11-15,,3.0,7.0,,Family,PlayStation 3
