Game,Console,Name,Publisher,Developer,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,rating,ratings_count,metacritic,genres,platforms
PS3_Grand Theft Auto V,PS3,Grand Theft Auto V,Rockstar Games,Rockstar North,0.0,20320000.0,6370000.0,9850000.0,990000.0,3120000.0,2013-09-17,,4.47,7225.0,92.0,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Xbox 360, PlayStation 3"
PS4_Grand Theft Auto V,PS4,Grand Theft Auto V,Rockstar Games,Rockstar North,0.0,19390000.0,6060000.0,9710000.0,600000.0,3020000.0,2014-11-18,2018-01-03,4.47,7225.0,92.0,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Xbox 360, PlayStation 3"
PS4_Call of Duty: Black Ops 3,PS4,Call of Duty: Black Ops 3,Activision,Treyarch,0.0,15090000.0,6180000.0,6050000.0,410000.0,2440000.0,2015-11-06,2018-01-14,,,,,
PS4_Red Dead Redemption 2,PS4,Red Dead Redemption 2,Rockstar Games,Rockstar Games,0.0,13940000.0,5260000.0,6210000.0,210000.0,2260000.0,2018-10-26,2018-11-02,4.59,5357.0,96.0,Action,"PC, Xbox One, PlayStation 4"
PS3_Call of Duty: Black Ops II,PS3,Call of Duty: Black Ops II,Activision,Treyarch,0.0,13800000.0,4990000.0,5880000.0,650000.0,2280000.0,2012-11-13,,3.96,1417.0,74.0,"Shooter, Action","PC, Xbox One, Xbox 360, PlayStation 3, Wii U"
PS4_Call of Duty: WWII,PS4,Call of Duty: WWII,Activision,Sledgehammer Games,0.0,13400000.0,4670000.0,6210000.0,400000.0,2120000.0,2017-11-03,2017-12-31,3.54,1171.0,77.0,"Shooter, Action","PC, Xbox One, PlayStation 4"
PS3_Call of Duty: Modern Warfare 3,PS3,Call of Duty: Modern Warfare 3,Activision,Infinity Ward,0.0,13350000.0,5540000.0,5780000.0,490000.0,1540000.0,2011-11-08,,3.78,1627.0,85.0,"Shooter, Action","PC, Xbox One, iOS, macOS, Xbox 360, PlayStation 3, Wii"
PS3_Call of Duty: Black Ops,PS3,Call of Duty: Black Ops,Activision,Treyarch,0.0,12670000.0,6010000.0,4400000.0,480000.0,1780000.0,2010-11-09,,4.05,1846.0,81.0,"Shooter, Action","PC, Xbox One, iOS, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii"
PS4_FIFA 18,PS4,FIFA 18,EA Sports,EA Vancouver,0.0,11800000.0,1270000.0,8640000.0,150000.0,1730000.0,2017-09-29,2018-04-02,3.36,700.0,79.0,Sports,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360"
PS4_FIFA 17,PS4,FIFA 17,Electronic Arts,EA Canada,0.0,10940000.0,1260000.0,7950000.0,120000.0,1610000.0,2016-09-27,2018-03-28,3.31,588.0,85.0,Sports,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS3_Call of Duty: Modern Warfare 2,PS3,Call of Duty: Modern Warfare 2,Activision,Infinity Ward,0.0,10610000.0,4990000.0,3660000.0,380000.0,1590000.0,2009-11-10,,4.27,2049.0,86.0,Shooter,"PC, Xbox One, macOS, Xbox 360, PlayStation 3"
PS3_Grand Theft Auto IV,PS3,Grand Theft Auto IV,Rockstar Games,Rockstar North,0.0,10570000.0,4790000.0,3730000.0,440000.0,1620000.0,2008-04-29,,4.26,3068.0,95.0,Action,"PC, Xbox One, Xbox 360, PlayStation 3"
PS4_Uncharted 4: A Thief's End,PS4,Uncharted 4: A Thief's End,Sony Interactive Entertainment,Naughty Dog,18650000.0,10330000.0,4490000.0,3930000.0,210000.0,1700000.0,2016-05-10,2018-09-23,,,,,
PS3_Call of Duty: Ghosts,PS3,Call of Duty: Ghosts,Activision,Infinity Ward,0.0,10130000.0,4110000.000000001,4010000.0,390000.0,1620000.0,2013-11-05,,3.15,842.0,68.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3, Wii U"
PS4_Call of Duty: Black Ops IIII,PS4,Call of Duty: Black Ops IIII,Activision,Treyarch,0.0,9320000.0,4050000.0,3280000.0,500000.0,1490000.0,2018-10-12,2018-11-07,,,,,
PS4_FIFA 19,PS4,FIFA 19,Electronic Arts,EA Sports,0.0,9150000.0,840000.0,6870000.0,100000.0,1340000.0,2018-09-28,2018-09-12,3.31,650.0,80.0,"Simulation, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
PS4_Marvel's Spider-Man,PS4,Marvel's Spider-Man,Sony Interactive Entertainment,Insomniac Games,22690000.0,8760000.0,3640000.0,3390000.0,320000.0,1410000.0,2018-09-07,2018-09-26,4.45,3652.0,87.0,Action,"PC, PlayStation 5, PlayStation 4"
PS4_Call of Duty: Infinite Warfare,PS4,Call of Duty: Infinite Warfare,Activision,Infinity Ward,0.0,8480000.0,3110000.0,3830000.0,190000.0,1360000.0,2016-11-04,2018-01-14,3.58,627.0,73.0,"Shooter, Action","PC, Xbox One, PlayStation 4"
PS4_Fallout 4,PS4,Fallout 4,Bethesda Softworks,Bethesda Game Studios,0.0,8480000.0,2910000.0,3970000.0,270000.0,1340000.0,2015-11-10,2018-03-24,3.81,3385.0,84.0,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4"
PS4_FIFA 16,PS4,FIFA 16,EA Sports,EA Canada,0.0,8220000.000000001,1150000.0,5770000.0,70000.0,1230000.0,2015-09-22,2018-04-01,,,,,
PS4_Star Wars Battlefront (2015),PS4,Star Wars Battlefront (2015),Electronic Arts,EA DICE,0.0,8029999.999999999,3310000.0,3190000.0,230000.0,1300000.0,2015-11-17,2018-03-24,,,,,
PS3_FIFA 13,PS3,FIFA 13,EA Sports,EA Canada,0.0,8010000.0,1070000.0,5130000.0,130000.0,1680000.0,2012-09-25,,3.75,166.0,78.0,Sports,"PC, iOS, Xbox 360, PlayStation 3, PlayStation 2, Wii U"
PS4_Call of Duty: Advanced Warfare,PS4,Call of Duty: Advanced Warfare,Activision,Sledgehammer Games,0.0,7530000.0,2840000.0,3340000.0,140000.0,1220000.0,2014-11-04,2018-01-04,3.47,862.0,78.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS4_Battlefield 1,PS4,Battlefield 1,Electronic Arts,EA DICE,0.0,7260000.0,2200000.0,3650000.0,290000.0,1120000.0,2016-10-21,2018-03-24,3.84,1960.0,88.0,"Shooter, Action","PC, Xbox One, PlayStation 4"
PS3_Battlefield 3,PS3,Battlefield 3,Electronic Arts,Dice,0.0,7210000.0,2860000.0,2940000.0,350000.0,1070000.0,2011-10-25,,4.07,1356.0,86.0,"Shooter, Action","PC, Xbox One, Xbox 360, PlayStation 3"
PS4_The Last of Us Remastered,PS4,The Last of Us Remastered,Sony Computer Entertainment,Naughty Dog,18630000.0,6770000.0,2700000.0,2860000.0,110000.0,1100000.0,2014-07-29,2018-09-24,4.69,2842.0,95.0,"Adventure, Action",PlayStation 4
PS3_Uncharted 2: Among Thieves,PS3,Uncharted 2: Among Thieves,Sony Computer Entertainment,Naughty Dog,0.0,6740000.0,3280000.0,2220000.0,210000.0,1020000.0,2009-10-13,,4.39,1775.0,96.0,"Shooter, Action","PlayStation 4, PlayStation 3"
PS3_Call of Duty 4: Modern Warfare,PS3,Call of Duty 4: Modern Warfare,Activision,Infinity Ward,0.0,6720000.0,3130000.0,2270000.0,280000.0,1040000.0,2007-11-05,,4.39,1813.0,92.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii"
PS3_FIFA Soccer 12,PS3,FIFA Soccer 12,EA Sports,EA Canada,0.0,6650000.0,840000.0,4330000.0,110000.0,1370000.0,2011-09-27,,,,,,
PS3_FIFA 14,PS3,FIFA 14,EA Sports,EA Canada,0.0,6610000.0,790000.0,4770000.0,70000.0,980000.0,2013-09-24,,3.43,458.0,86.0,Sports,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Nintendo 3DS, Xbox 360, PlayStation 3, PlayStation 2, PS Vita, PSP, Wii"
PS3_Red Dead Redemption,PS3,Red Dead Redemption,Rockstar Games,Rockstar San Diego,0.0,6570000.0,2820000.0,2580000.0,170000.0,1000000.0,2011-10-11,,4.42,2158.0,95.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
PS3_Assassin's Creed III,PS3,Assassin's Creed III,Ubisoft,Ubisoft Montreal,0.0,6500000.0,2650000.0,2610000.0,160000.0,1080000.0,2012-10-30,,,,,,
PS3_The Elder Scrolls V: Skyrim,PS3,The Elder Scrolls V: Skyrim,Bethesda Softworks,Bethesda Game Studios,0.0,6490000.0,2570000.0,2680000.0,250000.0,990000.0,2011-11-11,,4.42,4834.0,94.0,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, Xbox 360, PlayStation 3"
PS4_Minecraft,PS4,Minecraft,Sony Computer Entertainment,Mojang,0.0,6330000.0,1890000.0,3130000.0,350000.0,960000.0,2014-10-07,2018-09-14,4.43,3056.0,83.0,"Action, Arcade, Simulation, Indie, Massively Multiplayer","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Linux, Xbox 360, PlayStation 3, PS Vita, Wii U"
PS4_FIFA 15,PS4,FIFA 15,EA Sports,EA Canada,0.0,6320000.0,830000.0,4490000.0,50000.0,940000.0,2014-09-23,2018-03-23,3.37,509.0,82.0,Sports,"PC, PlayStation 4, Xbox One, Nintendo 3DS, Xbox 360, PlayStation 3, PS Vita"
PS4_God of War (2018),PS4,God of War (2018),Sony Interactive Entertainment,SIE Santa Monica Studio,21020000.0,6150000.0,2830000.0,2170000.0,130000.0,1020000.0,2018-04-20,2022-05-26,4.55,5051.0,94.0,Action,"PC, PlayStation 4"
PS3_Minecraft,PS3,Minecraft,Sony Computer Entertainment America,Mojang,0.0,6050000.0,2210000.0,2860000.0,0.0,990000.0,2014-05-16,,4.43,3056.0,83.0,"Action, Arcade, Simulation, Indie, Massively Multiplayer","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Linux, Xbox 360, PlayStation 3, PS Vita, Wii U"
PS4_Horizon: Zero Dawn,PS4,Horizon: Zero Dawn,Sony Interactive Entertainment,Guerrilla Games,19300000.0,5820000.0,2200000.0,2430000.0,280000.0,920000.0,2017-02-28,2020-09-24,,,,,
PS4_Destiny,PS4,Destiny,Activision,Bungie,0.0,5760000.0,2530000.0,2130000.0,160000.0,940000.0,2014-09-09,2018-01-12,3.69,1062.0,76.0,"Shooter, Action","Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS4_Uncharted: The Nathan Drake Collection,PS4,Uncharted: The Nathan Drake Collection,Sony Computer Entertainment,Bluepoint Games,9980000.0,5700000.0,2550000.0,2110000.0,100000.0,940000.0,2015-10-07,,,,,,
PS3_Assassin's Creed II,PS3,Assassin's Creed II,Ubisoft,Ubisoft Montreal,0.0,5570000.0,2540000.0,1950000.0,210000.0,860000.0,2009-11-17,,4.42,2918.0,89.0,Action,"PC, Xbox One, PlayStation 4, macOS, Xbox 360, PlayStation 3"
PS3_Batman: Arkham City,PS3,Batman: Arkham City,Warner Bros. Interactive,Rocksteady Studios,0.0,5540000.0,2720000.0,1890000.0,110000.0,820000.0,2011-10-18,,4.41,2150.0,94.0,Action,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Xbox 360, PlayStation 3"
PS3_Call of Duty: World at War,PS3,Call of Duty: World at War,Activision,Treyarch,0.0,5430000.0,2750000.0,1840000.0,0.0,840000.0,2008-11-10,,3.95,1192.0,83.0,Shooter,"PC, Xbox One, Nintendo DS, Xbox 360, PlayStation 3, Wii"
PS4_The Witcher 3: Wild Hunt,PS4,The Witcher 3: Wild Hunt,Warner Bros. Interactive Entertainment,CD Projekt Red Studio,12400000.0,5390000.0,1480000.0,2820000.0,280000.0,810000.0,2015-05-19,2018-05-04,4.64,7037.0,92.0,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS"
PS3_Final Fantasy XIII,PS3,Final Fantasy XIII,Square Enix,Square Enix,0.0,5350000.0,1750000.0,1230000.0,1870000.0,510000.0,2010-03-09,,3.46,686.0,77.0,RPG,"PC, Xbox One, Xbox 360, PlayStation 3"
PS3_Resident Evil 5,PS3,Resident Evil 5,Capcom,Capcom,0.0,5100000.0,1960000.0,1420000.0,1080000.0,640000.0,2009-03-13,,3.82,1619.0,86.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
PS3_FIFA Soccer 11,PS3,FIFA Soccer 11,EA Sports,EA Canada,0.0,5080000.0,610000.0,3280000.0,60000.0,1120000.0,2010-09-28,,,,,,
PS4_Final Fantasy XV,PS4,Final Fantasy XV,Square Enix,Square Enix,0.0,5070000.0,1810000.0,1530000.0,1050000.0,680000.0,2016-11-29,2018-05-04,3.87,1420.0,82.0,RPG,"PC, Xbox One, PlayStation 4"
PS3_Uncharted: Drake's Fortune,PS3,Uncharted: Drake's Fortune,Sony Computer Entertainment,Naughty Dog,0.0,4970000.0,2320000.0,1730000.0,120000.0,800000.0,2007-11-16,,4.03,1465.0,88.0,"Shooter, Action","PlayStation 4, PlayStation 3"
PS4_Crash Bandicoot N. Sane Trilogy,PS4,Crash Bandicoot N. Sane Trilogy,Activision,Vicarious Visions,0.0,4830000.0,1090000.0,2920000.0,70000.0,740000.0,2017-06-30,2018-09-23,4.13,638.0,81.0,"Platformer, Action","PC, Xbox One, PlayStation 4, Nintendo Switch"
PS3_Assassin's Creed,PS3,Assassin's Creed,Ubisoft,Ubisoft Montreal,0.0,4830000.0,1910000.0,2010000.0,90000.0,820000.0,2007-11-13,,3.92,1990.0,80.0,Action,"PC, Xbox One, Xbox 360, PlayStation 3"
PS4_Monster Hunter: World,PS4,Monster Hunter: World,Capcom,Capcom,4000000.0,4670000.0,1030000.0,1060000.0,2170000.0,420000.0,2018-01-26,2018-01-30,4.01,1621.0,89.0,"Adventure, Action, RPG","PC, Xbox One, PlayStation 4"
PS3_FIFA 15,PS3,FIFA 15,EA Sports,EA Canada,0.0,4560000.0,590000.0,3250000.0,40000.0,680000.0,2014-09-23,,3.37,509.0,82.0,Sports,"PC, PlayStation 4, Xbox One, Nintendo 3DS, Xbox 360, PlayStation 3, PS Vita"
PS4_Overwatch,PS4,Overwatch,Blizzard Entertainment,Blizzard Entertainment,0.0,4540000.0,1840000.0,1800000.0,170000.0,730000.0,2016-05-24,2018-03-24,4.13,1134.0,91.0,"Casual, Shooter, Massively Multiplayer, Action","PC, Xbox One, PlayStation 4, Nintendo Switch"
PS4_Star Wars Battlefront II (2017),PS4,Star Wars Battlefront II (2017),Electronic Arts,EA DICE,0.0,4530000.0,1700000.0,1990000.0,120000.0,730000.0,2017-11-17,2017-12-29,,,,,
PS4_Tom Clancy's The Division,PS4,Tom Clancy's The Division,Ubisoft,Massive Entertainment,0.0,4370000.0,1490000.0,2040000.0,160000.0,690000.0,2016-03-08,2018-05-04,,,,,
PS4_Tom Clancy's Rainbow Six: Siege,PS4,Tom Clancy's Rainbow Six: Siege,Ubisoft,Ubisoft Montreal,0.0,4360000.0,1290000.0,2060000.0,360000.0,640000.0,2015-12-01,2024-02-02,,,,,
PS4_Watch Dogs,PS4,Watch Dogs,Ubisoft,Ubisoft Montreal,0.0,4320000.0,1400000.0,2130000.0,110000.0,680000.0,2014-05-27,2018-03-15,3.6,2193.0,77.0,"Adventure, Action","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3, Wii U"
PS3_Batman: Arkham Asylum,PS3,Batman: Arkham Asylum,Eidos Interactive,Rocksteady Studios,0.0,4280000.0,2260000.0,1330000.0,70000.0,630000.0,2009-08-25,,4.4,2304.0,91.0,Action,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Xbox 360, PlayStation 3"
PS3_Call of Duty: Advanced Warfare,PS3,Call of Duty: Advanced Warfare,Activision,High Moon Studios,0.0,4270000.0,1590000.0,1810000.0,200000.0,670000.0,2014-11-04,,3.47,862.0,78.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS3_Assassin's Creed: Revelations,PS3,Assassin's Creed: Revelations,Ubisoft,Ubisoft Montreal,0.0,4230000.0,1410000.0,2030000.0,100000.0,690000.0,2011-11-15,,,,,,
PS3_Street Fighter IV,PS3,Street Fighter IV,Capcom,Capcom / Dimps Corporation,0.0,4190000.000000001,2040000.0,1050000.0,590000.0,520000.0,2009-02-17,,3.79,213.0,91.0,"Arcade, Action, Fighting","PC, Xbox One, iOS, Xbox 360, PlayStation 3"
PS4_Call of Duty: Ghosts,PS4,Call of Duty: Ghosts,Activision,Infinity Ward,0.0,4170000.0,1790000.0,1640000.0,50000.0,690000.0,2013-11-15,2018-03-21,3.15,842.0,68.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3, Wii U"
PS4_Assassin's Creed: Unity,PS4,Assassin's Creed: Unity,Ubisoft,Ubisoft Montreal,0.0,4140000.0,1250000.0,2160000.0,90000.0,650000.0,2014-11-11,2018-05-04,,,,,
PS4_Destiny 2,PS4,Destiny 2,Activision,Bungie,0.0,4140000.0,1920000.0,1440000.0,100000.0,690000.0,2017-09-06,2018-04-20,3.52,2653.0,82.0,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Web"
PS4_Batman: Arkham Knight,PS4,Batman: Arkham Knight,Warner Bros. Interactive,Rocksteady Studios,0.0,4110000.000000001,1650000.0,1680000.0,110000.0,660000.0,2015-06-23,2018-01-04,4.24,2653.0,81.0,Action,"PC, Xbox One, PlayStation 4, Nintendo Switch"
PS4_Assassin's Creed Origins,PS4,Assassin's Creed Origins,Ubisoft,Ubisoft Montreal,0.0,4060000.0,1220000.0,2110000.0,110000.0,630000.0,2017-10-27,2018-01-10,3.97,2081.0,81.0,"Action, RPG","PC, Xbox One, PlayStation 4"
PS4_Far Cry 4,PS4,Far Cry 4,Ubisoft,Ubisoft Montreal,0.0,4060000.0,1180000.0,2140000.0,110000.0,630000.0,2014-11-18,2018-01-23,3.82,1904.0,80.0,Shooter,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS3_Fallout 3,PS3,Fallout 3,Bethesda Softworks,Bethesda Game Studios,0.0,4000000.0,2180000.0,1150000.0,70000.0,610000.0,2008-10-28,,4.08,1923.0,91.0,"Shooter, RPG","PC, Xbox One, Xbox 360, PlayStation 3"
PS4_NBA 2K16,PS4,NBA 2K16,2K Sports,Visual Concepts,0.0,3980000.0,2560000.0,660000.0,50000.0,710000.0,2015-09-29,2018-03-28,2.97,315.0,86.0,Sports,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS4_Far Cry 5,PS4,Far Cry 5,Ubisoft,Ubisoft,0.0,3950000.0,1440000.0,1730000.0,150000.0,620000.0,2018-03-27,2018-02-28,3.72,2138.0,80.0,"Shooter, Action","PC, Xbox One, PlayStation 4"
PS4_Battlefield 4,PS4,Battlefield 4,Electronic Arts,EA DICE,0.0,3940000.0,1400000.0,1740000.0,190000.0,620000.0,2013-11-15,2018-01-09,3.95,1591.0,81.0,Shooter,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS3_Assassin's Creed IV: Black Flag,PS3,Assassin's Creed IV: Black Flag,Ubisoft,Ubisoft Montreal,0.0,3940000.0,1340000.0,1860000.0,130000.0,620000.0,2013-10-29,,,,,,
PS3_Sports Champions,PS3,Sports Champions,Sony Computer Entertainment,SCE San Diego Studio,0.0,3880000.0,2150000.0,1130000.0,100000.0,500000.0,2010-09-17,,3.35,103.0,,"Casual, Arcade, Sports",PlayStation 3
PS4_Gran Turismo Sport,PS4,Gran Turismo Sport,Sony Interactive Entertainment,Polyphony Digital,12980000.0,3770000.0,630000.0,2350000.0,240000.0,540000.0,2017-10-17,2018-01-13,3.92,556.0,75.0,Racing,PlayStation 4
PS3_Battlefield 4,PS3,Battlefield 4,Electronic Arts,EA DICE,0.0,3640000.0,1310000.0,1500000.0,270000.0,550000.0,2013-10-29,,3.95,1591.0,81.0,Shooter,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS3_FIFA Soccer 10,PS3,FIFA Soccer 10,EA Sports,EA Canada,0.0,3630000.0,600000.0,2460000.0,50000.0,520000.0,2009-10-20,,,,,,
PS4_Assassin's Creed Syndicate,PS4,Assassin's Creed Syndicate,Ubisoft,Ubisoft Quebec,0.0,3600000.0,900000.0,2060000.0,80000.0,550000.0,2015-10-23,2018-05-04,3.66,1506.0,74.0,Action,"PC, Xbox One, PlayStation 4"
PS4_NBA 2K17,PS4,NBA 2K17,2K Sports,Visual Concepts,0.0,3520000.0,2280000.0,590000.0,30000.0,630000.0,2016-09-16,2018-03-28,3.33,133.0,90.0,"Action, Sports","PC, Xbox One, PlayStation 4, iOS, Xbox 360, PlayStation 3"
PS4_Kingdom Hearts HD I.5 + II.5 ReMIX,PS4,Kingdom Hearts HD I.5 + II.5 ReMIX,Square Enix,Square Enix,3600000.0,3500000.0,1500000.0,1020000.0,460000.0,520000.0,2017-03-28,2018-01-10,,,,,
PS4_Mortal Kombat X,PS4,Mortal Kombat X,Warner Bros. Interactive Entertainment,NetherRealm Studios,0.0,3490000.0,1940000.0,940000.0,0.0,610000.0,2015-04-14,2018-01-04,3.86,2103.0,76.0,"Action, Fighting","PC, Xbox One, PlayStation 4"
PS3_LittleBigPlanet 2,PS3,LittleBigPlanet 2,Sony Computer Entertainment,Media Molecule,0.0,3430000.0,1830000.0,1070000.0,60000.0,470000.0,2011-01-18,,4.09,395.0,,"Arcade, Action",PlayStation 3
PS4_FIFA 14,PS4,FIFA 14,EA Sports,EA Canada,0.0,3430000.0,620000.0,2180000.0,120000.0,510000.0,2013-11-15,2018-09-15,3.43,458.0,86.0,Sports,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, Nintendo 3DS, Xbox 360, PlayStation 3, PlayStation 2, PS Vita, PSP, Wii"
PS4_The Elder Scrolls V: Skyrim Special Edition,PS4,The Elder Scrolls V: Skyrim Special Edition,Bethesda Softworks,Bethesda Softworks,0.0,3360000.0,1240000.0,1500000.0,80000.0,540000.0,2016-10-28,2018-04-01,4.45,1959.0,74.0,"Action, RPG","PC, Xbox One, PlayStation 4"
PS4_Watch Dogs 2,PS4,Watch Dogs 2,Ubisoft,Ubisoft,0.0,3360000.0,980000.0,1740000.0,120000.0,520000.0,2016-11-15,,3.84,1752.0,79.0,"Adventure, Action","PC, Xbox One, PlayStation 4"
PS4_NBA 2K18,PS4,NBA 2K18,2K Sports,Visual Concepts,0.0,3340000.0,2130000.0,570000.0,40000.0,590000.0,2017-09-19,2018-04-02,3.19,148.0,,"Action, Simulation, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, Xbox 360"
PS4_Resident Evil VII: Biohazard,PS4,Resident Evil VII: Biohazard,Capcom,Capcom,3830000.0,3310000.0,880000.0,1560000.0,410000.0,460000.0,2017-01-24,2018-11-06,,,,,
PS4_Madden NFL 16,PS4,Madden NFL 16,EA Sports,EA Tiburon,0.0,3300000.0,2390000.0,310000.0,0.0,610000.0,2015-08-25,2018-03-31,2.94,64.0,84.0,Sports,"Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS4_Madden NFL 17,PS4,Madden NFL 17,EA Sports,EA Tiburon,0.0,3280000.0,2300000.0,370000.0,0.0,600000.0,2016-08-23,2018-04-01,3.01,68.0,82.0,Sports,"Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS3_Far Cry 3,PS3,Far Cry 3,Ubisoft,Ubisoft Montreal,0.0,3270000.0,880000.0,1790000.0,100000.0,500000.0,2012-12-04,,4.26,2945.0,88.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS3_L.A. Noire,PS3,L.A. Noire,Rockstar Games,Team Bondi,0.0,3210000.0,1290000.0,1310000.0,120000.0,490000.0,2011-11-15,,4.16,2052.0,83.0,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
PS4_Middle-Earth: Shadow of Mordor,PS4,Middle-Earth: Shadow of Mordor,Warner Bros. Interactive Entertainment,Monolith Productions,2880000.0,3190000.0,1030000.0,1600000.0,50000.0,510000.0,2014-09-30,2018-05-04,3.91,2529.0,85.0,"Action, RPG","PC, PlayStation 4, Xbox One, macOS, Linux, Xbox 360, PlayStation 3"
PS4_Assassin's Creed IV: Black Flag,PS4,Assassin's Creed IV: Black Flag,Ubisoft,Ubisoft Montreal,0.0,3190000.0,1070000.0,1550000.0,60000.0,510000.0,2013-11-15,2018-03-14,,,,,
PS4_Assassin's Creed Odyssey,PS4,Assassin's Creed Odyssey,Ubisoft,Ubisoft Quebec,0.0,3180000.0,1180000.0,1400000.0,90000.0,510000.0,2018-10-05,2018-11-17,3.98,2085.0,85.0,"Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch"
PS3_Fallout: New Vegas,PS3,Fallout: New Vegas,Bethesda Softworks,Obsidian Entertainment,0.0,3170000.0,1540000.0,1040000.0,100000.0,490000.0,2010-10-19,,4.43,2584.0,84.0,"Shooter, Action, RPG","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS3_Resident Evil 6,PS3,Resident Evil 6,Capcom,Capcom,0.0,3120000.0,880000.0,970000.0,880000.0,390000.0,2012-10-02,,3.43,1265.0,67.0,"Shooter, Action","PC, PlayStation 4, Xbox One, Nintendo Switch, Xbox 360, PlayStation 3, Web"
PS4_Tom Clancy's Ghost Recon Wildlands,PS4,Tom Clancy's Ghost Recon Wildlands,Ubisoft,Ubisoft Paris,0.0,3120000.0,1070000.0,1350000.0,220000.0,470000.0,2017-03-07,2018-04-01,3.57,717.0,72.0,"Shooter, Massively Multiplayer, Action","PC, Xbox One, PlayStation 4"
PS3_The Elder Scrolls IV: Oblivion,PS3,The Elder Scrolls IV: Oblivion,Bethesda Softworks,4J Studios,0.0,3120000.0,1690000.0,860000.0,140000.0,440000.0,2007-03-20,,4.33,950.0,94.0,"Indie, Adventure, RPG","PC, Xbox One, Xbox 360, PlayStation 3"
PS4_Bloodborne,PS4,Bloodborne,Sony Computer Entertainment,From Software,7650000.0,3110000.0,1300000.0,1050000.0,280000.0,480000.0,2015-03-24,2018-04-10,4.41,2439.0,92.0,"Action, RPG",PlayStation 4
PS4_Metal Gear Solid V: The Phantom Pain,PS4,Metal Gear Solid V: The Phantom Pain,Konami Digital Entertainment,Kojima Productions,0.0,3040000.0,970000.0,1150000.0,500000.0,420000.0,2015-09-01,2018-05-04,4.16,2514.0,91.0,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3"
PS4_Killzone: Shadow Fall,PS4,Killzone: Shadow Fall,Sony Computer Entertainment,Guerrilla Games,2100000.0,3020000.0,890000.0,1580000.0,80000.0,470000.0,2013-11-15,2018-04-14,,,,,
PS4_inFAMOUS: Second Son,PS4,inFAMOUS: Second Son,Sony Computer Entertainment,Sucker Punch,5300000.0,3010000.0,1350000.0,1090000.0,70000.0,500000.0,2014-03-21,2018-11-02,,,,,
PS3_Battlefield: Bad Company 2,PS3,Battlefield: Bad Company 2,Electronic Arts,EA Digital Illusions CE,0.0,2960000.0,1330000.0,1110000.0,80000.0,440000.0,2010-03-02,,4.13,912.0,87.0,"Shooter, Action","PC, Xbox One, Xbox 360, PlayStation 3"
